"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000104409,청웅초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531187,2021-03-25
Z000104396,갈담초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531188,2021-03-25
Z000104424,풍산초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531189,2021-03-25
Z000104408,지사초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531195,2021-03-25
Z000104159,대야초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-16,530996,2021-03-25
Z000104664,담주초통학구역,0,46,710,8490000,전라남도교육청,8561000,전라남도담양교육지원청,2016-08-12,2016-08-12,530997,2021-03-25
Z000104564,화태초월호분교장통학구역,0,46,130,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,531067,2021-03-25
Z000105779,지정초통학구역,0,48,720,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2016-08-12,2016-08-12,531068,2021-03-25
Z000104580,순천북초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,531069,2021-03-25
Z000104606,해룡초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,531070,2021-03-25
Z000104439,성송초통학구역,0,45,790,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2016-08-12,531071,2021-03-25
Z000100229,서울덕수초통학구역,0,11,140,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2016-08-12,2017-02-20,531107,2021-03-25
Z000105732,거제고현초통학구역,0,48,310,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2016-08-12,2018-05-02,531108,2021-03-25
Z000104196,오산초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,531109,2021-03-25
Z000104178,창오초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-12,531190,2021-03-25
Z000100893,대구서촌초통학구역,0,27,140,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2016-08-12,2016-08-12,531191,2021-03-25
Z000105686,석봉초통학구역,0,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-17,530998,2021-03-25
Z000104584,순천성동초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,530999,2021-03-25
Z000103473,동락초통학구역,0,43,130,8000000,충청북도교육청,8021000,충청북도충주교육지원청,2016-08-12,2016-08-12,531072,2021-03-25
Z000103533,수정초통학구역,0,43,720,8000000,충청북도교육청,8051000,충청북도보은교육지원청,2016-08-12,2018-02-23,531073,2021-03-25
Z000100999,대구덕인초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,531110,2021-03-25
Z000101006,대구성곡초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,531111,2021-03-25
Z000104320,성덕초통학구역,0,45,210,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2016-08-12,2016-08-12,531112,2021-03-25
Z000104363,화산초통학구역,0,45,710,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2016-08-12,2016-08-12,531113,2021-03-25
Z000104300,주생초통학구역,0,45,190,8320000,전라북도교육청,8371000,전라북도남원교육지원청,2016-08-12,2016-08-12,531114,2021-03-25
