,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude
174,2613,6,불광,서울특별시 은평구 통일로 지하 723-1 (대조동),서울특별시 은평구 통일로 지하 723-1 ,서울특별시 은평구 불광역,37.6094527,126.9305417
175,2614,6,독바위,서울특별시 은평구 불광로 지하129-1 (불광동),서울특별시 은평구 불광로 지하129-1 ,서울특별시 은평구 독바위역,37.6183872,126.9331625
176,2615,6,연신내,서울특별시 은평구 통일로 지하 849 (갈현동),서울특별시 은평구 통일로 지하 849 ,서울특별시 은평구 연신내역,37.61783,126.92187
177,2616,6,구산,서울특별시 은평구 연서로 지하137-1 (구산동),서울특별시 은평구 연서로 지하137-1 ,서울특별시 은평구 구산역,37.6111867,126.9173589
178,2617,6,새절,서울특별시 은평구 증산로 지하400 (신사동,서울특별시 은평구 증산로 지하400 ,서울특별시 은평구 새절역,37.5911,126.91338
179,2618,6,증산,서울특별시 은평구 증산로 지하306 (증산동),서울특별시 은평구 증산로 지하306 ,서울특별시 은평구 증산역,37.58379,126.90934
180,2619,6,디지털미디어시티,서울특별시 은평구 수색로 지하175 (증산동),서울특별시 은평구 수색로 지하175 ,서울특별시 은평구 디지털미디어시티역,37.577941,126.899788
181,2620,6,월드컵경기장,서울특별시 마포구 월드컵로 지하240 (성산동),서울특별시 마포구 월드컵로 지하240 ,서울특별시 마포구 월드컵경기장역,37.570178,126.8993144
182,2621,6,마포구청,서울특별시 마포구 월드컵로 지하190 (성산동),서울특별시 마포구 월드컵로 지하190 ,서울특별시 마포구 마포구청역,37.56222,126.9022
183,2622,6,망원,서울특별시 마포구 월드컵로 지하77 (망원동),서울특별시 마포구 월드컵로 지하77 ,서울특별시 마포구 망원역,37.5560254,126.9101277
184,2623,6,합정,서울특별시 마포구 양화로 지하 45 ,서울특별시 마포구 양화로 지하 45 ,서울특별시 마포구 합정역,37.5505421,126.915014
185,2624,6,상수,서울특별시 마포구 독막로 지하85 (상수동),서울특별시 마포구 독막로 지하85 ,서울특별시 마포구 상수역,37.54785,126.92153
186,2625,6,광흥창,서울특별시 마포구 독막로 지하 165,서울특별시 마포구 독막로 지하 165,서울특별시 마포구 광흥창역,37.54733,126.93055
187,2626,6,대흥,서울특별시 마포구 대흥로 지하 85,서울특별시 마포구 대흥로 지하 85,서울특별시 마포구 대흥역,37.5478903,126.9419137
188,2627,6,공덕,서울특별시 마포구 백범로 지하 200(공덕동),서울특별시 마포구 백범로 지하 200,서울특별시 마포구 공덕역,37.54346,126.95139
189,2628,6,효창공원앞,서울특별시 용산구 백범로 지하287 (효창동),서울특별시 용산구 백범로 지하287 ,서울특별시 용산구 효창공원앞역,37.5393268,126.9613795
190,2629,6,삼각지,서울특별시 용산구 한강대로 지하 180 (한강로1가),서울특별시 용산구 한강대로 지하 180 ,서울특별시 용산구 삼각지역,37.5356461,126.9738539
191,2630,6,녹사평,서울특별시 용산구 녹사평대로 지하195 (용산동4가),서울특별시 용산구 녹사평대로 지하195 ,서울특별시 용산구 녹사평역,37.5341054,126.9880853
192,2631,6,이태원,서울특별시 용산구 이태원로 지하177 (이태원동),서울특별시 용산구 이태원로 지하177 ,서울특별시 용산구 이태원역,37.5345026,126.9943705
193,2632,6,한강진,서울특별시 용산구 이태원로 지하287 (한남동),서울특별시 용산구 이태원로 지하287 ,서울특별시 용산구 한강진역,37.5408377,127.0016907
194,2633,6,버티고개,서울특별시 중구 다산로 지하38 (신당동),서울특별시 중구 다산로 지하38 ,서울특별시 중구 버티고개역,37.5479693,127.0069326
195,2634,6,약수,서울특별시 중구 다산로 지하 155 (신당동),서울특별시 중구 다산로 지하 155 ,서울특별시 중구 약수역,37.5547911,127.0106133
196,2635,6,청구,서울특별시 중구 청구로 지하77 (신당동),서울특별시 중구 청구로 지하77 ,서울특별시 중구 청구역,37.55994,127.01461
197,2636,6,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),서울특별시 중구 퇴계로 지하 431-1 ,서울특별시 중구 신당역,37.5653839,127.016252
198,2637,6,동묘앞,서울특별시 종로구 종로 359 (숭인동),서울특별시 종로구 종로 359 ,서울특별시 종로구 동묘앞역,37.5729947,127.015596
199,2638,6,창신,서울특별시 종로구 지봉로 지하112 (창신동),서울특별시 종로구 지봉로 지하112 ,서울특별시 종로구 창신역,37.5798042,127.0152468
200,2639,6,보문,서울특별시 성북구 보문로 지하116 (보문동1가),서울특별시 성북구 보문로 지하116 ,서울특별시 성북구 보문역,37.58543,127.02021
201,2640,6,안암,서울특별시 성북구 고려대로 지하89 (안암동5가),서울특별시 성북구 고려대로 지하89 ,서울특별시 성북구 안암역,37.5862886,127.0293703
202,2641,6,고려대,서울특별시 성북구 종암로 지하1 (종암동),서울특별시 성북구 종암로 지하1 ,서울특별시 성북구 고려대역,37.5901411,127.0362318
203,2642,6,월곡,서울특별시 성북구 월곡로 지하107 (하월곡동),서울특별시 성북구 월곡로 지하107 ,서울특별시 성북구 월곡역,37.60159,127.04153
204,2643,6,상월곡,서울특별시 성북구 화랑로 지하157 (상월곡동),서울특별시 성북구 화랑로 지하157 ,서울특별시 성북구 상월곡역,37.60592,127.04728
205,2644,6,돌곶이,서울특별시 성북구 화랑로 지하243 (석관동),서울특별시 성북구 화랑로 지하243 ,서울특별시 성북구 돌곶이역,37.61065,127.05633
206,2645,6,석계,서울특별시 노원구 화랑로 지하347-1 (월계동),서울특별시 노원구 화랑로 지하347-1 ,서울특별시 노원구 석계역,37.61481,127.06653
207,2646,6,태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동),서울특별시 노원구 동일로 지하992-1 ,서울특별시 노원구 태릉입구역,37.6195,127.07515
208,2647,6,화랑대,서울특별시 노원구 화랑로 지하510,서울특별시 노원구 화랑로 지하510,서울특별시 노원구 화랑대역,37.6197841,127.0837122
